producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,4,beegfs,30,430.6552174883546,299.0982697422316,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,2,tmpfs,30,448.1321328962341,432.29761113502593,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,2,tmpfs,60,450.6587241110647,432.29761113502593,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,16,tmpfs,30,458.37730789070076,442.5427861294926,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,15,tmpfs,30,459.00273041651485,443.16820865530667,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,14,tmpfs,30,459.6299231978924,443.79540143668424,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,16,tmpfs,60,460.90389910553137,442.5427861294926,18.36111297603876
stage_in-individuals,0.5,individuals,1,ssd-ssd,14,ssd,30,461.2777507367893,446.74950294020573,14.528247796583585
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,15,tmpfs,60,461.52932163134545,443.16820865530667,18.36111297603876
stage_in-individuals,0.5,individuals,1,ssd-ssd,15,ssd,30,461.56412051044174,447.03587271385817,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd-ssd,16,ssd,30,461.85085764991305,447.3226098533295,14.528247796583585
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,14,tmpfs,60,462.1565144,443.79540143668424,18.36111297603876
stage_in-individuals,0.5,individuals,1,ssd-ssd,14,ssd,60,463.6531114619212,446.74950294020573,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd-ssd,15,ssd,60,463.9394812355736,447.03587271385817,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd-ssd,16,ssd,60,464.22621837504494,447.3226098533295,16.903608521715448
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,3,beegfs,60,470.03609996436273,299.0982697422316,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,4,beegfs,60,470.03609996436273,299.0982697422316,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,2,tmpfs,150,473.5110744,432.29761113502593,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,16,tmpfs,150,483.75624943711966,442.5427861294926,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,15,tmpfs,150,484.38167196293375,443.16820865530667,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,14,tmpfs,150,485.0088647443113,443.79540143668424,41.213463307627066
