producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,4,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,6,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,11,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,15,0.01528539992946826,0.01528539992946826,0.0
mBackground,1.0,stage_out-mBackground,1.5,ssd,2,ssd,16,0.01528539992946826,0.01528539992946826,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,1,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,2,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,3,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,4,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,6,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,11,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,15,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,beegfs,1,beegfs,16,0.029741192927792044,0.029741192927792044,0.0
mViewer,1.0,stage_out-mViewer,1.5,ssd,1,ssd,1,0.04659168143293053,0.04659168143293053,0.0
mViewer,1.0,stage_out-mViewer,1.5,ssd,1,ssd,2,0.04659168143293053,0.04659168143293053,0.0
mViewer,1.0,stage_out-mViewer,1.5,ssd,1,ssd,3,0.04659168143293053,0.04659168143293053,0.0
mViewer,1.0,stage_out-mViewer,1.5,ssd,1,ssd,4,0.04659168143293053,0.04659168143293053,0.0
mViewer,1.0,stage_out-mViewer,1.5,ssd,1,ssd,6,0.04659168143293053,0.04659168143293053,0.0
